!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 2   10/ 7/19
!  WCM     D35  pE   D35  pM   D15  pE   D15  pM   D15  nE   D15  nM
 1810.0   -0.4502    0.0920    0.3664   -0.3891   -0.3106    0.7692           0.0617   -0.0000   -0.0503    0.1138    0.0153   -0.4463
 1815.0   -0.4434    0.0949    0.3676   -0.3880   -0.3108    0.7609           0.0632    0.0002   -0.0488    0.1092    0.0141   -0.4208
 1820.0   -0.4366    0.0978    0.3686   -0.3868   -0.3108    0.7517           0.0649    0.0004   -0.0474    0.1049    0.0129   -0.3964
 1825.0   -0.4298    0.1007    0.3696   -0.3858   -0.3107    0.7425           0.0667    0.0006   -0.0459    0.1008    0.0117   -0.3731
 1830.0   -0.4231    0.1037    0.3705   -0.3848   -0.3104    0.7327           0.0685    0.0008   -0.0444    0.0969    0.0104   -0.3506
 1835.0   -0.4164    0.1066    0.3712   -0.3840   -0.3101    0.7233           0.0705    0.0010   -0.0429    0.0933    0.0091   -0.3291
 1840.0   -0.4098    0.1096    0.3719   -0.3832   -0.3096    0.7130           0.0726    0.0013   -0.0413    0.0898    0.0078   -0.3083
 1845.0   -0.4033    0.1125    0.3724   -0.3824   -0.3091    0.7025           0.0748    0.0015   -0.0397    0.0865    0.0065   -0.2883
 1850.0   -0.3968    0.1155    0.3729   -0.3817   -0.3085    0.6925           0.0771    0.0018   -0.0382    0.0834    0.0052   -0.2691
 1855.0   -0.3905    0.1184    0.3733   -0.3811   -0.3077    0.6816           0.0795    0.0021   -0.0365    0.0804    0.0038   -0.2506
 1860.0   -0.3844    0.1214    0.3737   -0.3805   -0.3069    0.6708           0.0821    0.0024   -0.0349    0.0775    0.0025   -0.2327
 1865.0   -0.3783    0.1243    0.3739   -0.3800   -0.3060    0.6598           0.0846    0.0027   -0.0332    0.0747    0.0012   -0.2154
 1870.0   -0.3724    0.1273    0.3742   -0.3796   -0.3051    0.6490           0.0873    0.0031   -0.0315    0.0720   -0.0002   -0.1984
 1875.0   -0.3666    0.1302    0.3743   -0.3792   -0.3039    0.6375           0.0901    0.0034   -0.0299    0.0695   -0.0015   -0.1823
 1880.0   -0.3610    0.1332    0.3743   -0.3788   -0.3028    0.6262           0.0929    0.0038   -0.0281    0.0670   -0.0028   -0.1666
 1885.0   -0.3557    0.1361    0.3743   -0.3784   -0.3016    0.6145           0.0958    0.0041   -0.0264    0.0645   -0.0042   -0.1513
 1890.0   -0.3505    0.1390    0.3742   -0.3781   -0.3003    0.6026           0.0988    0.0045   -0.0246    0.0621   -0.0055   -0.1365
 1895.0   -0.3456    0.1419    0.3741   -0.3778   -0.2989    0.5907           0.1018    0.0049   -0.0228    0.0598   -0.0068   -0.1222
 1900.0   -0.3409    0.1448    0.3738   -0.3774   -0.2974    0.5783           0.1048    0.0053   -0.0210    0.0575   -0.0080   -0.1084
 1905.0   -0.3365    0.1477    0.3736   -0.3771   -0.2958    0.5659           0.1077    0.0057   -0.0192    0.0552   -0.0093   -0.0950
 1910.0   -0.3323    0.1505    0.3733   -0.3769   -0.2942    0.5535           0.1107    0.0061   -0.0173    0.0531   -0.0105   -0.0820
 1915.0   -0.3284    0.1534    0.3728   -0.3765   -0.2925    0.5409           0.1135    0.0065   -0.0154    0.0509   -0.0118   -0.0694
 1920.0   -0.3247    0.1562    0.3724   -0.3762   -0.2907    0.5280           0.1163    0.0069   -0.0135    0.0487   -0.0130   -0.0572
 1925.0   -0.3213    0.1590    0.3719   -0.3758   -0.2889    0.5150           0.1190    0.0073   -0.0116    0.0466   -0.0141   -0.0454
 1930.0   -0.3182    0.1618    0.3713   -0.3754   -0.2870    0.5011           0.1214    0.0077   -0.0096    0.0445   -0.0153   -0.0341
 1935.0   -0.3154    0.1646    0.3707   -0.3749   -0.2850    0.4877           0.1238    0.0080   -0.0076    0.0424   -0.0164   -0.0231
 1940.0   -0.3127    0.1673    0.3699   -0.3744   -0.2829    0.4741           0.1259    0.0084   -0.0056    0.0404   -0.0175   -0.0125
 1945.0   -0.3103    0.1700    0.3692   -0.3739   -0.2808    0.4602           0.1278    0.0088   -0.0036    0.0383   -0.0185   -0.0024
 1950.0   -0.3081    0.1728    0.3683   -0.3733   -0.2786    0.4457           0.1294    0.0091   -0.0015    0.0363   -0.0195    0.0074
 1955.0   -0.3061    0.1755    0.3674   -0.3726   -0.2763    0.4313           0.1307    0.0095    0.0005    0.0342   -0.0205    0.0167
 1960.0   -0.3042    0.1781    0.3664   -0.3718   -0.2740    0.4167           0.1317    0.0098    0.0026    0.0322   -0.0214    0.0257
 1965.0   -0.3024    0.1808    0.3654   -0.3710   -0.2716    0.4020           0.1324    0.0102    0.0048    0.0301   -0.0222    0.0342
 1970.0   -0.3007    0.1835    0.3643   -0.3701   -0.2691    0.3868           0.1328    0.0105    0.0070    0.0281   -0.0230    0.0423
 1975.0   -0.2991    0.1861    0.3632   -0.3691   -0.2666    0.3715           0.1327    0.0108    0.0091    0.0260   -0.0238    0.0497
 1980.0   -0.2974    0.1888    0.3619   -0.3679   -0.2640    0.3558           0.1324    0.0111    0.0113    0.0240   -0.0245    0.0569
 1985.0   -0.2958    0.1914    0.3606   -0.3667   -0.2613    0.3399           0.1318    0.0113    0.0136    0.0219   -0.0251    0.0638
 1990.0   -0.2941    0.1941    0.3592   -0.3653   -0.2586    0.3242           0.1307    0.0116    0.0159    0.0199   -0.0257    0.0700
 1995.0   -0.2923    0.1967    0.3578   -0.3638   -0.2558    0.3080           0.1294    0.0119    0.0182    0.0178   -0.0262    0.0759
 2000.0   -0.2903    0.1993    0.3562   -0.3622   -0.2530    0.2916           0.1278    0.0121    0.0205    0.0157   -0.0267    0.0811
