!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 2   10/ 7/19
!  WCM     D33  pE   D33  pM   D13  pE   D13  pM   D13  nE   D13  nM
 1810.0    1.8404   -0.1608   -1.0442   -0.4944   -0.1700    0.0947          -0.7050    0.6475   -0.1066    0.1243   -0.5527   -0.1502
 1815.0    1.7939   -0.1506   -1.0255   -0.4823   -0.1605    0.0972          -0.6121    0.6332   -0.1299    0.1173   -0.5450   -0.1445
 1820.0    1.7453   -0.1404   -1.0156   -0.4728   -0.1501    0.1022          -0.5246    0.6198   -0.1487    0.1111   -0.5366   -0.1395
 1825.0    1.6954   -0.1303   -1.0055   -0.4636   -0.1391    0.1076          -0.4410    0.6070   -0.1689    0.1053   -0.5278   -0.1341
 1830.0    1.6440   -0.1200   -0.9890   -0.4553   -0.1275    0.1124          -0.3618    0.5951   -0.1871    0.0991   -0.5180   -0.1286
 1835.0    1.5914   -0.1097   -0.9801   -0.4484   -0.1156    0.1191          -0.2867    0.5839   -0.2041    0.0945   -0.5078   -0.1233
 1840.0    1.5376   -0.0995   -0.9640   -0.4432   -0.1028    0.1253          -0.2152    0.5731   -0.2250    0.0893   -0.4967   -0.1170
 1845.0    1.4832   -0.0893   -0.9478   -0.4324   -0.0917    0.1307          -0.1473    0.5629   -0.2414    0.0847   -0.4848   -0.1113
 1850.0    1.4279   -0.0792   -0.9367   -0.4234   -0.0800    0.1376          -0.0827    0.5535   -0.2536    0.0799   -0.4723   -0.1060
 1855.0    1.3721   -0.0692   -0.9174   -0.4170   -0.0673    0.1439          -0.0214    0.5445   -0.2664    0.0768   -0.4591   -0.1005
 1860.0    1.3156   -0.0594   -0.9138   -0.4052   -0.0569    0.1519           0.0370    0.5363   -0.2851    0.0725   -0.4453   -0.0936
 1865.0    1.2587   -0.0497   -0.9026   -0.4063   -0.0431    0.1616           0.0927    0.5282   -0.3005    0.0685   -0.4309   -0.0871
 1870.0    1.2015   -0.0402   -0.8772   -0.3982   -0.0311    0.1674           0.1455    0.5208   -0.3165    0.0659   -0.4159   -0.0805
 1875.0    1.1440   -0.0309   -0.8793   -0.3883   -0.0207    0.1773           0.1961    0.5137   -0.3285    0.0630   -0.4002   -0.0743
 1880.0    1.0863   -0.0218   -0.8682   -0.3791   -0.0099    0.1855           0.2440    0.5070   -0.3333    0.0613   -0.3837   -0.0691
 1885.0    1.0284   -0.0128   -0.8349   -0.3715    0.0017    0.1908           0.2900    0.5008   -0.3594    0.0576   -0.3669   -0.0601
 1890.0    0.9708   -0.0041   -0.8398   -0.3741    0.0141    0.2041           0.3336    0.4948   -0.3658    0.0561   -0.3493   -0.0543
 1895.0    0.9127    0.0044   -0.8207   -0.3676    0.0248    0.2121           0.3752    0.4894   -0.3740    0.0538   -0.3309   -0.0478
 1900.0    0.8551    0.0128   -0.8111   -0.3561    0.0338    0.2204           0.4146    0.4841   -0.4044    0.0508   -0.3123   -0.0378
 1905.0    0.7976    0.0209   -0.7950   -0.3473    0.0433    0.2284           0.4526    0.4791   -0.4191    0.0481   -0.2929   -0.0300
 1910.0    0.7403    0.0288   -0.7872   -0.3466    0.0539    0.2394           0.4886    0.4746   -0.4108    0.0497   -0.2733   -0.0261
 1915.0    0.6832    0.0365   -0.7648   -0.3370    0.0625    0.2465           0.5230    0.4700   -0.4252    0.0483   -0.2530   -0.0183
 1920.0    0.6265    0.0439   -0.7603   -0.3365    0.0721    0.2580           0.5554    0.4659   -0.4410    0.0458   -0.2319   -0.0099
 1925.0    0.5705    0.0512   -0.7306   -0.3271    0.0800    0.2641           0.5865    0.4621   -0.4479    0.0458   -0.2107   -0.0031
 1930.0    0.5147    0.0583   -0.7296   -0.3280    0.0888    0.2762           0.6159    0.4582   -0.4658    0.0451   -0.1890    0.0054
 1935.0    0.4596    0.0651   -0.7130   -0.3197    0.0958    0.2843           0.6439    0.4549   -0.4609    0.0446   -0.1665    0.0109
 1940.0    0.4048    0.0718   -0.7021   -0.3229    0.1042    0.2953           0.6705    0.4516   -0.4803    0.0449   -0.1440    0.0196
 1945.0    0.3509    0.0782   -0.6886   -0.3177    0.1107    0.3041           0.6957    0.4485   -0.4757    0.0456   -0.1207    0.0251
 1950.0    0.2983    0.0844   -0.6956   -0.3259    0.1185    0.3182           0.7195    0.4456   -0.4849    0.0437   -0.0968    0.0330
 1955.0    0.2460    0.0905   -0.6600   -0.3208    0.1242    0.3238           0.7420    0.4427   -0.5171    0.0419   -0.0728    0.0438
 1960.0    0.1957    0.0963   -0.6439   -0.3106    0.1283    0.3307           0.7632    0.4401   -0.5236    0.0427   -0.0484    0.0509
 1965.0    0.1452    0.1020   -0.6524   -0.3146    0.1337    0.3433           0.7831    0.4377   -0.5181    0.0438   -0.0235    0.0564
 1970.0    0.0969    0.1075   -0.6255   -0.3079    0.1374    0.3490           0.8017    0.4353   -0.5395    0.0427    0.0018    0.0656
 1975.0    0.0492    0.1128   -0.6073   -0.3077    0.1414    0.3569           0.8191    0.4332   -0.5453    0.0450    0.0272    0.0723
 1980.0    0.0034    0.1179   -0.6112   -0.3100    0.1449    0.3675           0.8353    0.4310   -0.5498    0.0433    0.0536    0.0796
 1985.0   -0.0425    0.1228   -0.5978   -0.3053    0.1470    0.3744           0.8504    0.4291   -0.5572    0.0463    0.0796    0.0862
 1990.0   -0.0849    0.1276   -0.5941   -0.3061    0.1493    0.3830           0.8640    0.4271   -0.5440    0.0491    0.1061    0.0904
